CASE_NUMBER,EMPLOYER_NAME,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_ADDRESS_1
H-300-20199-721302,"Fazio Farms Operating Company, LLC",Portland,OR,8433 NE 13th Ave
H-300-20231-773906,Charlie Sunderland,McMinnville,TN,982 Northcutts Cove Road
H-300-20231-774123,Michael Rudebusch,Livingston,TX,7366 State Hwy 146 S
H-300-20231-774151,Lodahl Farms,Brockton,MT,4198 Road 2049
H-300-20231-774508,"Dunson Harvesting, Inc.",Winter Haven,FL,400 Eagle Lake Loop Rd.
H-300-20231-775063,CUMBERLAND VALLEY NURSERIES INC,MCMINNVILLE,TN,394 SHAFFIE LANE
H-300-20232-777530,"O'Connor Ranch Lands, LLC",Broadus,MT,1 O'Connor Road
H-300-20233-780540,"Farm Labor Association for Growers, Inc.",Heber,CA,101 E. Main Street
H-300-20234-782276,Rksk Farms, Hastings,MN,12701 220th Street E
H-300-20235-782945,"CY FARMS, LLC",ROANOKE,LA,7365 HIGHWAY 90
H-300-20237-783679,"Keller Farms, Inc",Collinsville,IL,435 South Bluff Rd
H-300-20237-784078,WORLDWIDE HARVESTING COMPANY LLC,LABELLE,FL,410 F ROAD
H-300-20239-789380,Optimum Agriculture FL LLC,Miami,FL,"333 SE 2nd Avenue, Suite 2810"
H-300-20240-791791,Webb Ranch LLC,Isabel,SD,13245 230th Ave.
H-300-20240-791807,"McLain Farms, Inc.",Lyons,GA,534 McLain Cemetery Road
H-300-20240-791975,Ryan Herrmann,Mount Vernon,SD,26422 399th Ave 
H-300-20240-792373,Harvestco LLC,Lake Placid,FL,7 N Magnolia Ave
H-300-20244-795767,"Bonnie Plants, Inc.",Midland,TX,3803 South County Road 1135
H-300-20245-799651,"B & W Quality Growers, Inc.",Fellsmere,FL,7798 County Road 512
H-300-20245-799951,Hays Harvesting Inc.,Ft. Pierce,FL,3521 Eleven Mile Road
H-300-20246-801467,Robbie DeVillier Farms and Services LLC,Opelousas,LA,5027 Hwy 182 
H-300-20246-801482,Sunny South Packing Company,Arcadia,FL,217 S. Polk Avenue
H-300-20248-806317,Poplar Ridge Farms GP,Jonesboro,AR,416 Huntcliff
H-300-20248-806527,WESTERN RANGE ASSOCIATION,TWIN FALLS,ID,161 FIFTH AVE SOUTH
H-300-20248-806974,WESTERN RANGE ASSOCIATION,TWIN FALLS,ID,161 FIFTH AVE SOUTH
H-300-20248-807210,"FC of Arcadia, Inc",Arcadia,FL,5095 SE County Road 760
H-300-20252-810670,"KB Farms, LLC",Rayne,LA,501 Copperton Rd
H-300-20253-812429,WESTERN RANGE ASSOCIATION,TWIN FALLS,ID,161 FIFTH AVE SOUTH
H-300-20253-812672,Freeman Harvesting ,Winter Garden,FL,640 E. Plant Street
H-300-20254-814980,WESTERN RANGE ASSOCIATION,TWIN FALLS,ID,161 FIFTH AVE SOUTH
H-300-20255-817322,Fidel T Barajas,Lake Placid,FL,1528 Eucalyptus Ave.
H-300-20255-819064,Plains Cotton Cooperative Association,Altus,OK,P.O. Box 918
H-300-20255-819090,Plains Cotton Cooperative Association,Altus,OK,P O Box 918
H-300-20258-821194,Phil Walters,Hebron,IL,6202 Johnson Rd
H-300-20258-821509,"ELW Farms, Inc. ",Marienthal,KS,1149 N CR 22
H-300-20258-821564,Rose Land & Cattle,Park Valley,UT,53515 W. 17600 N.
H-300-20261-829202,20 Mile Sheep LLC,Craig,CO,35513 N Hwy 13
H-300-20261-829722,High Country Lamb LLC,Oak Creek,CO,501 N. Lincoln
H-300-20266-839330,Humphrey Coker Seed Co,Hartsville,SC,311 Sumter Avenue
H-300-20198-717939,Southern Flavor Farms LP,Fort Valley,GA,9465 Miami Valley Rd
H-300-20230-772476,Arbre Farms ,Walkerville,MI,6362 N 192nd Avenue
H-300-20231-774180,"Crum Farming, Inc.",Ione,OR,P.O. Box 67
H-300-20232-777171,"Lady Moon Farms, Inc",Chambersburg,PA,1795 Criders Church Rd.
H-300-20238-786258,Lehfeldt Rambouillets,Lavina,MT,1910 Railway Avenue E
H-300-20238-786983,McCabe Joint Venture,Redstone,MT,663 Bergh Rd
H-300-20239-788715,"Reyna Harvesting, Inc.",Wauchula,FL,701 S. Florida Avenue
H-300-20246-801277,Al Meier,Wessington Springs,SD,22875 383rd Ave
H-300-20248-806091,Walther Farms LLC- GA,Three Rivers,MI,52944  U.S. Hwy 131
H-300-20248-806415,WESTERN RANGE ASSOCIATION,TWIN FALLS,ID,161 FIFTH AVE SOUTH
H-300-20252-809969,Stoddard Ranch ,Seguin ,TX,4565 Mesquite Pass 
H-300-20253-812123,WESTERN RANGE ASSOCIATION,TWIN FALLS,ID,161 FIFTH AVE SOUTH
H-300-20254-814864,WESTERN RANGE ASSOCIATION,TWIN FALLS,ID,161 FIFTH AVE SOUTH
H-300-20254-814903,WESTERN RANGE ASSOCIATION,TWIN FALLS,ID,161 FIFTH AVE SOUTH
H-300-20254-815133,"Wright Equipment, LLC ",Heth ,AR,2229 Hwy. 149
H-300-20254-815464,WESTERN RANGE ASSOCIATION,TWIN FALLS,ID,161 FIFTH AVE SOUTH
